# This file shows results of an evaluation of saliencymaps as described in
# R. Achanta, S. Hemami, F. Estrada and S. Süsstrunk, Frequency-tuned Salient Region Detection, IEEE International Conference on Computer Vision and Pattern Recognition (CVPR), 2009.
#
# threshold mean_precision mean_recall
0 0.1989 1.000 
1 0.1989 1.000 
2 0.1989 1.000 
3 0.1989 1.000 
4 0.1989 1.000 
5 0.1989 1.000 
6 0.1989 1.000 
7 0.1989 1.000 
8 0.1989 1.000 
9 0.1989 1.000 
10 0.1989 1.000 
11 0.1989 1.000 
12 0.1989 1.000 
13 0.1989 1.000 
14 0.1990 1.000 
15 0.1990 1.000 
16 0.1990 1.000 
17 0.1990 1.000 
18 0.1990 1.000 
19 0.1990 1.000 
20 0.1990 1.000 
21 0.1990 1.000 
22 0.1990 1.000 
23 0.1993 1.000 
24 0.1993 1.000 
25 0.1993 1.000 
26 0.1993 1.000 
27 0.1993 1.000 
28 0.1993 1.000 
29 0.1996 1.000 
30 0.1996 1.000 
31 0.1996 1.000 
32 0.1996 1.000 
33 0.1996 1.000 
34 0.1996 1.000 
35 0.2001 1.000 
36 0.2001 1.000 
37 0.2001 1.000 
38 0.2001 1.000 
39 0.2007 1.000 
40 0.2007 1.000 
41 0.2007 1.000 
42 0.2007 1.000 
43 0.2014 1.000 
44 0.2014 1.000 
45 0.2014 1.000 
46 0.2014 1.000 
47 0.2022 1.000 
48 0.2022 1.000 
49 0.2022 1.000 
50 0.2022 1.000 
51 0.2032 0.9999 
52 0.2032 0.9999 
53 0.2032 0.9999 
54 0.2043 0.9999 
55 0.2043 0.9999 
56 0.2043 0.9999 
57 0.2056 0.9999 
58 0.2056 0.9999 
59 0.2056 0.9999 
60 0.2070 0.9998 
61 0.2070 0.9998 
62 0.2085 0.9998 
63 0.2085 0.9998 
64 0.2085 0.9998 
65 0.2101 0.9997 
66 0.2101 0.9997 
67 0.2120 0.9996 
68 0.2120 0.9996 
69 0.2120 0.9996 
70 0.2139 0.9995 
71 0.2139 0.9995 
72 0.2160 0.9994 
73 0.2160 0.9994 
74 0.2182 0.9992 
75 0.2182 0.9992 
76 0.2205 0.9991 
77 0.2205 0.9991 
78 0.2229 0.9989 
79 0.2229 0.9989 
80 0.2255 0.9987 
81 0.2255 0.9987 
82 0.2282 0.9985 
83 0.2282 0.9985 
84 0.2310 0.9982 
85 0.2310 0.9982 
86 0.2340 0.9980 
87 0.2371 0.9977 
88 0.2371 0.9977 
89 0.2402 0.9974 
90 0.2402 0.9974 
91 0.2435 0.9970 
92 0.2435 0.9970 
93 0.2469 0.9966 
94 0.2503 0.9962 
95 0.2503 0.9962 
96 0.2539 0.9957 
97 0.2577 0.9952 
98 0.2577 0.9952 
99 0.2616 0.9946 
100 0.2655 0.9939 
101 0.2655 0.9939 
102 0.2696 0.9932 
103 0.2739 0.9925 
104 0.2739 0.9925 
105 0.2783 0.9917 
106 0.2828 0.9909 
107 0.2873 0.9900 
108 0.2873 0.9900 
109 0.2920 0.9891 
110 0.2969 0.9881 
111 0.3018 0.9871 
112 0.3018 0.9871 
113 0.3069 0.9862 
114 0.3122 0.9851 
115 0.3176 0.9840 
116 0.3231 0.9828 
117 0.3231 0.9828 
118 0.3287 0.9815 
119 0.3344 0.9802 
120 0.3402 0.9789 
121 0.3461 0.9775 
122 0.3520 0.9761 
123 0.3580 0.9745 
124 0.3580 0.9745 
125 0.3640 0.9729 
126 0.3702 0.9712 
127 0.3766 0.9695 
128 0.3830 0.9676 
129 0.3895 0.9658 
130 0.3961 0.9639 
131 0.4027 0.9619 
132 0.4094 0.9599 
133 0.4162 0.9579 
134 0.4230 0.9558 
135 0.4299 0.9536 
136 0.4369 0.9514 
137 0.4439 0.9491 
138 0.4509 0.9467 
139 0.4580 0.9443 
140 0.4651 0.9418 
