# This file shows results of an evaluation of saliencymaps as described in
# R. Achanta, S. Hemami, F. Estrada and S. Süsstrunk, Frequency-tuned Salient Region Detection, IEEE International Conference on Computer Vision and Pattern Recognition (CVPR), 2009.
#
# threshold mean_precision mean_recall
0 0.1989 1.000 
1 0.1994 1.000 
2 0.1994 1.000 
3 0.1994 1.000 
4 0.1994 1.000 
5 0.1994 1.000 
6 0.1994 1.000 
7 0.1994 1.000 
8 0.1994 1.000 
9 0.1994 1.000 
10 0.1994 1.000 
11 0.1994 1.000 
12 0.1994 1.000 
13 0.1994 1.000 
14 0.2027 1.000 
15 0.2027 1.000 
16 0.2027 1.000 
17 0.2027 1.000 
18 0.2027 1.000 
19 0.2027 1.000 
20 0.2027 1.000 
21 0.2027 1.000 
22 0.2027 1.000 
23 0.2085 0.9998 
24 0.2085 0.9998 
25 0.2085 0.9998 
26 0.2085 0.9998 
27 0.2085 0.9998 
28 0.2085 0.9998 
29 0.2160 0.9993 
30 0.2160 0.9993 
31 0.2160 0.9993 
32 0.2160 0.9993 
33 0.2160 0.9993 
34 0.2160 0.9993 
35 0.2253 0.9983 
36 0.2253 0.9983 
37 0.2253 0.9983 
38 0.2253 0.9983 
39 0.2364 0.9966 
40 0.2364 0.9966 
41 0.2364 0.9966 
42 0.2364 0.9966 
43 0.2495 0.9940 
44 0.2495 0.9940 
45 0.2495 0.9940 
46 0.2495 0.9940 
47 0.2645 0.9902 
48 0.2645 0.9902 
49 0.2645 0.9902 
50 0.2645 0.9902 
51 0.2814 0.9850 
52 0.2814 0.9850 
53 0.2814 0.9850 
54 0.2997 0.9781 
55 0.2997 0.9781 
56 0.2997 0.9781 
57 0.3196 0.9697 
58 0.3196 0.9697 
59 0.3196 0.9697 
60 0.3406 0.9594 
61 0.3406 0.9594 
62 0.3624 0.9475 
63 0.3624 0.9475 
64 0.3624 0.9475 
65 0.3850 0.9341 
66 0.3850 0.9341 
67 0.4084 0.9190 
68 0.4084 0.9190 
69 0.4084 0.9190 
70 0.4327 0.9025 
71 0.4327 0.9025 
72 0.4575 0.8849 
73 0.4575 0.8849 
74 0.4830 0.8659 
75 0.4830 0.8659 
76 0.5083 0.8454 
77 0.5083 0.8454 
78 0.5335 0.8235 
79 0.5335 0.8235 
80 0.5583 0.8003 
81 0.5583 0.8003 
82 0.5827 0.7768 
83 0.5827 0.7768 
84 0.6057 0.7526 
85 0.6057 0.7526 
86 0.6272 0.7276 
87 0.6479 0.7020 
88 0.6479 0.7020 
89 0.6665 0.6758 
90 0.6665 0.6758 
91 0.6834 0.6495 
92 0.6834 0.6495 
93 0.6989 0.6227 
94 0.7152 0.5954 
95 0.7152 0.5954 
96 0.7293 0.5680 
97 0.7341 0.5401 
98 0.7341 0.5401 
99 0.7457 0.5125 
100 0.7556 0.4851 
101 0.7556 0.4851 
102 0.7641 0.4583 
103 0.7719 0.4320 
104 0.7719 0.4320 
105 0.7749 0.4068 
106 0.7816 0.3824 
107 0.7885 0.3585 
108 0.7885 0.3585 
109 0.7910 0.3349 
110 0.7970 0.3117 
111 0.8036 0.2893 
112 0.8036 0.2893 
113 0.8044 0.2680 
114 0.8059 0.2477 
115 0.8098 0.2284 
116 0.7974 0.2100 
117 0.7974 0.2100 
118 0.7907 0.1929 
119 0.7832 0.1764 
120 0.7773 0.1610 
121 0.7585 0.1471 
122 0.7478 0.1341 
123 0.7211 0.1220 
124 0.7211 0.1220 
125 0.7023 0.1104 
126 0.6731 0.09981 
127 0.6650 0.08986 
128 0.6415 0.08053 
129 0.6207 0.07185 
130 0.6115 0.06379 
131 0.5821 0.05638 
132 0.5494 0.04991 
133 0.5180 0.04407 
134 0.4956 0.03875 
135 0.4683 0.03425 
136 0.4451 0.03033 
137 0.4103 0.02693 
138 0.3940 0.02399 
139 0.3538 0.02146 
140 0.3060 0.01925 
141 0.2665 0.01734 
142 0.2385 0.01560 
143 0.2187 0.01400 
144 0.2159 0.01254 
145 0.1938 0.01135 
146 0.1741 0.01028 
147 0.1618 0.009347 
148 0.1452 0.008531 
149 0.1155 0.007042 
150 0.1143 0.006452 
151 0.1019 0.005904 
152 0.09032 0.005338 
153 0.07338 0.004777 
154 0.06947 0.004218 
155 0.06948 0.003705 
156 0.04997 0.002711 
157 0.04216 0.002285 
158 0.03829 0.001918 
159 0.03834 0.001625 
160 0.02684 0.001183 
161 0.02697 0.0009914 
162 0.02712 0.0008137 
163 0.02338 0.0006682 
164 0.02344 0.0004428 
165 0.01953 0.0003665 
166 0.01563 0.0003229 
167 0.01172 0.0002907 
168 0.007813 0.0002362 
169 0.007813 0.0002196 
170 0.007813 0.0001995 
171 0.007813 0.0001575 
172 0.007813 0.0001427 
173 0.007813 0.0001233 
174 0.003906 9.333e-05 
175 0.003906 8.022e-05 
176 0.003906 4.929e-05 
177 0.003906 3.461e-05 
178 0.003906 2.097e-05 
179 0.000 0.000 
